arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
a100,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,164.32535,194.6261,11.20067,120.17509,800,graph,True,False,
a100,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,428.02888,430.11287,12.50576,93.7797,800,graph,True,False,
a100,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,1885.06131,1888.22958,17.27091,99.11267,800,graph,True,False,
a100,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,4552.68201,4564.95093,24.89235,106.99781,800,graph,True,False,
a100,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,12689.4591,12716.37526,38.27626,120.85285,800,graph,True,False,
a100,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,163.6409,166.56878,10.62699,92.58988,800,graph,True,False,
a100,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,429.58526,433.92255,10.69472,93.36543,800,graph,True,False,
a100,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,1883.22574,1889.37027,10.8504,92.84825,800,graph,True,False,
a100,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,4560.89453,4573.63417,11.03541,92.93747,800,graph,True,False,
a100,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,12692.05863,12725.36618,11.30762,93.47146,800,graph,True,False,
a100,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,188.98231,191.38168,10.62451,118.86321,800,graph,True,False,
a100,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,441.06488,441.96767,11.66602,119.50035,800,graph,True,False,
a100,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,1901.67251,1909.66671,15.51406,122.52032,800,graph,True,False,
a100,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,4606.16971,4610.25956,21.93475,129.68936,800,graph,True,False,
a100,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,12829.73958,12832.81412,32.68291,111.71576,800,graph,True,False,
a100,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,164.31162,165.04186,11.05882,93.76944,800,graph,True,False,
a100,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,429.23443,429.62633,11.94438,94.5649,800,graph,True,False,
a100,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,1885.76601,1894.55368,15.12118,97.61741,800,graph,True,False,
a100,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,4566.00056,4577.18969,20.48733,103.18243,800,graph,True,False,
a100,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,12699.13604,12720.24912,29.93139,113.06769,800,graph,True,False,
a100,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,193.11779,195.84987,10.81058,121.1769,800,graph,True,False,
a100,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,442.67565,447.52593,12.07486,124.23013,800,graph,True,False,
a100,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,1879.26094,1884.85002,16.84179,98.12324,800,graph,True,False,
a100,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,4547.44666,4557.8429,24.46954,106.14012,800,graph,True,False,
a100,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,12722.54115,12778.27871,37.81277,119.27285,800,graph,True,False,
a100,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,1024,75.14164,77.19222,9.73656,9.79533,800,graph,True,False,
a100,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,4096,289.84662,290.44172,10.00432,10.07079,800,graph,True,False,
a100,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,16384,1414.33169,1419.28196,11.14922,11.20369,800,graph,True,False,
a100,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,32768,3647.83748,3653.03738,12.60558,12.68874,800,graph,True,False,
a100,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,65536,10853.05805,10860.34053,15.37274,15.455,800,graph,True,False,
a100,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,1024,79.70326,80.04107,9.4796,9.54781,800,graph,True,False,
a100,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,4096,359.68406,361.13806,10.19107,10.25236,800,graph,True,False,
a100,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,16384,2594.61598,2597.80384,13.07389,13.10852,800,graph,True,False,
a100,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,32768,8357.38383,8377.02732,16.77501,16.80291,800,graph,True,False,
a100,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,65536,29619.87906,29641.46651,24.59029,24.62071,800,graph,True,False,
