arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
a100bm,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,155.40089,156.37972,10.99107,88.05901,800,graph,True,False,
a100bm,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,407.92145,409.22385,12.86346,89.32926,800,graph,True,False,
a100bm,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,1732.02081,1733.11047,21.05587,95.69599,800,graph,True,False,
a100bm,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,4133.10129,4135.23611,32.08757,106.59788,800,graph,True,False,
a100bm,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,11193.53993,11206.31359,51.78435,124.80581,800,graph,True,False,
a100bm,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,152.26889,153.55995,10.13542,82.94709,800,graph,True,False,
a100bm,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,405.6097,406.53995,10.2448,82.68039,800,graph,True,False,
a100bm,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,1732.4996,1732.91444,10.57576,82.81907,800,graph,True,False,
a100bm,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,4137.57473,4139.0324,10.90386,83.36395,800,graph,True,False,
a100bm,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,11216.93259,11241.09223,11.51355,83.54071,800,graph,True,False,
a100bm,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,150.63651,153.14245,10.77262,83.92747,800,graph,True,False,
a100bm,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,406.19696,407.75618,12.2575,86.13697,800,graph,True,False,
a100bm,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,1729.91259,1733.92134,18.78422,90.68081,800,graph,True,False,
a100bm,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,4130.2767,4133.48351,27.65813,99.68978,800,graph,True,False,
a100bm,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,11201.15454,11212.56531,43.3404,115.68122,800,graph,True,False,
a100bm,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,150.14179,151.04836,10.89744,83.35606,800,graph,True,False,
a100bm,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,405.69328,406.04915,12.61245,85.37345,800,graph,True,False,
a100bm,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,1731.27177,1734.13445,20.09413,93.19605,800,graph,True,False,
a100bm,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,4130.36095,4131.53692,30.29432,103.52672,800,graph,True,False,
a100bm,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,11240.57785,11244.37469,48.69701,122.17501,800,graph,True,False,
a100bm,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,148.82454,151.55126,10.57053,82.75855,800,graph,True,False,
a100bm,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,404.66958,405.5748,12.42075,84.88643,800,graph,True,False,
a100bm,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,1731.77681,1733.06049,20.60032,93.82774,800,graph,True,False,
a100bm,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,4130.0277,4131.11162,31.65445,106.12025,800,graph,True,False,
a100bm,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,11197.01734,11225.96932,51.35434,124.44457,800,graph,True,False,
a100bm,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,1024,74.00365,75.74964,9.04979,9.25076,800,graph,True,False,
a100bm,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,4096,327.60363,328.50235,9.75248,9.83643,800,graph,True,False,
a100bm,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,16384,2383.22087,2384.89752,12.58862,12.61822,800,graph,True,False,
a100bm,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,32768,7728.14312,7729.96584,16.40862,16.49293,800,graph,True,False,
a100bm,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,65536,27648.79462,27664.08606,24.23035,24.37426,800,graph,True,False,
a100bm,cmp,TURBOQUANT,turboquant_3bit_nc,,,1,1024,71.86653,72.88687,10.53558,10.70237,800,graph,True,False,
a100bm,cmp,TURBOQUANT,turboquant_3bit_nc,,,1,4096,260.44208,261.2883,12.24208,12.44994,800,graph,True,False,
a100bm,cmp,TURBOQUANT,turboquant_3bit_nc,,,1,16384,1220.36779,1220.732,19.6471,19.83794,800,graph,True,False,
a100bm,cmp,TURBOQUANT,turboquant_3bit_nc,,,1,32768,3049.24332,3052.42217,29.65034,29.80027,800,graph,True,False,
a100bm,cmp,TURBOQUANT,turboquant_3bit_nc,,,1,65536,8628.75056,8636.02346,49.53749,49.71918,800,graph,True,False,
