arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,82.3746,82.6134,8.6261,46.48714,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,190.9081,191.06673,6.99347,51.16598,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,738.4337,739.16707,10.65542,54.90736,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1671.06401,1672.4063,14.55546,58.77701,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,4276.36398,4284.40518,22.63173,66.74809,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,83.22637,84.23365,8.72565,47.39546,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,191.08989,191.5713,8.66811,47.14891,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,739.34713,741.32272,8.64544,47.05259,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1678.57642,1681.73488,9.92533,52.31033,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,4281.05086,4297.94111,10.02354,51.96593,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,78.26554,78.38669,5.31766,46.29506,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,188.68614,190.14991,5.73158,46.87579,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,739.19289,739.94205,8.83835,51.11783,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,1679.45805,1683.20155,12.10557,54.49588,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,4285.19356,4285.47803,18.60768,60.888,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,82.12666,82.4222,8.54298,46.44912,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,190.46355,190.60011,8.53451,46.49788,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,738.31512,740.20401,8.72275,53.36137,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,1671.0151,1674.73353,11.19046,55.47621,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,4274.64002,4283.73739,16.2573,60.55229,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,86.65884,87.3677,8.42818,51.10193,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,195.43866,196.51495,6.64046,51.62079,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,747.4709,758.21268,9.99683,60.11741,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,0.04493,1687.40609,13.99043,67.63346,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,4275.10863,4296.03033,21.9576,72.51861,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,1024,26.68941,27.42235,3.67586,8.95322,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,4096,93.14845,93.79912,3.83738,9.35885,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,16384,452.95145,455.46224,4.25054,10.10481,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,32768,1133.76664,1136.35488,4.80338,11.19866,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,65536,3211.20595,3229.12163,5.84238,7.97947,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,1024,29.66301,29.86999,3.64189,3.79875,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,4096,152.11625,152.22998,4.23222,4.39877,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,16384,1366.44497,1377.0862,6.25955,6.42726,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,32768,4790.25941,4795.91065,8.93429,9.08136,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,65536,17935.58864,17937.97834,14.31133,14.38917,800,graph,True,False,
