arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,83.39562,83.84654,8.71962,47.36044,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,194.14969,194.25861,8.62389,51.73763,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,745.00993,747.01106,10.88642,55.99533,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1694.51906,1695.88826,15.15691,60.09069,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,4318.47194,4323.6226,23.63917,70.07948,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,82.32832,82.5727,8.47133,46.51555,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,190.55815,190.72235,8.44541,46.4125,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,742.17026,742.32998,8.44662,46.37812,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1688.70419,1691.16677,8.44917,46.36613,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,4324.58436,4330.13169,8.44222,46.3898,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,77.33389,77.65802,5.40803,45.38294,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,189.82937,190.05565,5.84248,45.80112,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,745.65556,747.45166,9.13925,50.53887,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,1696.04777,1700.20731,12.59197,53.98983,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,4334.70414,4355.10981,19.54274,60.96899,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,81.5841,81.68818,8.46587,45.53328,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,190.88502,191.12311,8.46408,45.50087,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,742.27901,744.17476,8.92029,52.68872,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,1687.32956,1688.5397,11.43893,55.12597,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,4313.66754,4323.84448,16.63053,59.88555,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,82.02781,82.26404,5.7377,49.57662,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,191.23824,191.48482,6.29475,50.65625,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,742.51874,742.83982,10.38299,55.227,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,1688.30789,1688.94675,14.60827,59.54399,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,4321.59202,4328.0111,23.21027,68.08705,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,1024,25.57354,26.0234,3.61984,3.74539,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,4096,91.18742,93.8695,3.68981,3.8056,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,16384,456.33404,458.79684,4.07773,4.21224,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,32768,1140.36548,1142.63582,4.62837,4.82679,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,65536,3242.05051,3245.5126,5.70054,5.85687,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,1024,29.85194,30.00376,3.49458,3.70743,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,4096,153.65127,155.67072,4.02155,4.17604,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,16384,1402.70617,1403.23671,6.14581,6.27962,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,32768,4895.23136,4902.45642,8.80789,8.99531,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,65536,18343.62278,18460.51514,14.32242,14.38407,800,graph,True,False,
