arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,81.85811,82.36339,8.53578,46.4011,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,190.22458,190.92257,6.85482,51.1989,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,739.32803,740.53728,10.88382,55.08072,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1671.64369,1673.47554,15.1491,59.31441,800,graph,True,False,
h200,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,4270.66269,4281.29551,23.67142,67.94021,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,81.45843,81.62329,8.55426,46.44193,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,189.51997,189.58731,8.52894,46.36969,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,737.93237,738.27259,8.51933,46.30428,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1672.66171,1674.44954,8.49138,46.36257,800,graph,True,False,
h200,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,4276.47101,4279.17851,8.48963,46.30069,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,77.24566,77.53088,5.27166,45.88772,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,187.60902,188.03666,5.72469,46.68649,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,738.13647,738.22562,8.97226,51.0942,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,1678.83531,1679.95104,12.36954,54.58498,800,graph,True,False,
h200,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,4281.4993,4288.82164,19.4068,61.5978,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,82.73677,82.97491,8.79194,47.49231,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,191.68,192.69047,8.76486,47.40034,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,739.43251,739.58154,8.73128,54.18201,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,1672.55436,1674.86669,11.24787,58.28831,800,graph,True,False,
h200,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,4268.44661,4272.06772,16.46358,63.47359,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,80.65504,81.14173,5.66621,48.70347,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,190.11308,190.25435,6.27549,49.13865,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,740.31417,740.99458,10.32506,54.3358,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,1671.82613,1676.59872,14.48061,58.53988,800,graph,True,False,
h200,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,4269.97959,4286.84807,23.10168,67.12491,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,1024,25.42342,25.70843,3.66224,3.78695,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,4096,90.34905,90.53182,3.80181,3.95855,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,16384,451.79854,452.66947,4.24795,4.40212,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,32768,1127.4726,1128.97964,4.78373,4.92913,800,graph,True,False,
h200,cmp,FA,bf16+FLASH_ATTN(vLLM default),FLASH_ATTN,,1,65536,3203.02602,3212.22225,5.83696,5.89882,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,1024,29.82102,30.00017,3.64846,3.80704,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,4096,150.71402,150.96962,4.22966,4.36924,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,16384,1366.6457,1366.77683,6.25779,6.43597,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,32768,4779.30633,4788.94814,8.92715,9.0779,800,graph,True,False,
h200,cmp,TRITON,bf16+TRITON,TRITON_ATTN,,1,65536,17937.70497,17946.72364,14.30325,14.34594,800,graph,True,False,
