arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,75.48963,75.74962,6.64093,45.97664,800,graph,True,False,
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,186.54051,188.96345,9.0275,49.3907,800,graph,True,False,
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,8192,356.02974,356.17066,13.19648,53.24987,800,graph,True,False,
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,740.59368,740.74267,20.55885,60.64059,800,graph,True,False,
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1680.33195,1683.82848,33.11086,72.99562,800,graph,True,False,
h200canon,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,4296.92155,4303.47854,64.34955,104.39459,800,graph,True,False,
h200canon,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,76.17811,76.53758,8.32915,41.69581,800,graph,True,False,
h200canon,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,186.44988,186.58417,8.25686,41.58941,800,graph,True,False,
h200canon,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,8192,357.06723,357.1418,8.29645,41.98586,800,graph,True,False,
h200canon,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,744.11551,746.26723,8.28792,41.97477,800,graph,True,False,
h200canon,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1686.26855,1686.78928,8.30602,41.78102,800,graph,True,False,
