arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,71.99379,72.62974,7.09944,41.69532,800,graph,True,False,
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,157.17015,157.33418,8.60488,48.1022,800,graph,True,False,
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,8192,296.31407,298.02194,11.33946,50.68081,800,graph,True,False,
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,620.0469,621.8009,18.20646,56.36745,800,graph,True,False,
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1450.39471,1453.91801,30.19674,67.85398,800,graph,True,False,
h200fig7,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,3838.1584,3856.11799,51.41643,90.70718,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,72.3417,72.73477,8.60643,41.69356,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,157.51805,157.65212,8.57256,41.57523,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,8192,295.05618,295.45469,8.58294,41.7326,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,619.08138,621.25454,8.57307,41.7371,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1452.30428,1452.70065,8.60725,41.73453,800,graph,True,False,
h200fig7,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,3853.39001,3856.54082,8.58755,41.66021,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,66.23869,66.66126,6.05656,39.7892,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,154.75663,154.91947,7.45392,41.32802,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,8192,292.65586,294.68658,9.88995,45.51156,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,621.23559,621.67013,15.6559,50.49976,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,1453.31074,1455.61058,26.10678,60.59127,800,graph,True,False,
h200fig7,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,3847.81669,3855.18389,44.35816,80.27327,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,70.25322,70.70628,7.02966,40.05689,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,157.01709,157.69703,8.46597,46.55375,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,8192,294.57052,296.45841,11.05424,48.58438,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,620.44755,620.87411,17.34237,54.05013,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,1449.7522,1452.00517,28.5341,64.7053,800,graph,True,False,
h200fig7,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,3842.11917,3854.41612,47.95522,85.64912,800,graph,True,False,
h200fig7,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,70.43408,71.20719,6.54147,44.55199,800,graph,True,False,
h200fig7,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,158.08623,158.42968,8.23123,47.42633,800,graph,True,False,
h200fig7,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,8192,294.84514,295.39631,10.94931,50.37272,800,graph,True,False,
