arch,group,arm,label,backend,quant,batch,ctx,ttft_p50,ttft_p99,tpot_p50,tpot_p99,n_steps,mode,ok,oom,err
shipabl_bitmap,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,1024,81.92032,82.04165,8.36605,46.00693,800,graph,True,False,
shipabl_bitmap,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,4096,191.20921,191.60373,7.61438,52.68649,800,graph,True,False,
shipabl_bitmap,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,16384,742.26646,743.47372,13.93907,58.44853,800,graph,True,False,
shipabl_bitmap,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,32768,1674.35386,1675.57883,20.90866,65.3475,800,graph,True,False,
shipabl_bitmap,abl,abl_attn,bf16-w+OMMXattn(noshadow),CUSTOM,,1,65536,4280.73156,4284.6829,37.68482,82.32395,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,1024,81.73308,82.39122,8.38085,45.95259,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,4096,191.14595,191.40956,8.33576,45.83471,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,16384,742.39515,743.24473,8.33334,45.92935,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,32768,1679.50189,1680.59191,8.43691,46.23504,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_all,bf16-w+CUSTOM-base(math+mem),CUSTOM,,1,65536,4278.73563,4281.49714,6.51675,46.16973,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,1024,82.2169,82.3306,8.5223,46.11989,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,4096,191.63043,191.72399,7.20392,51.58188,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,16384,742.87418,743.5061,12.21046,56.46269,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,32768,1675.90769,1677.76784,17.58232,61.97528,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_dequant,bf16-w+CUSTOM-Vdequant,CUSTOM,,1,65536,4281.10954,4284.03299,31.01194,75.41975,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,1024,82.83728,89.21541,8.56381,46.38362,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,4096,191.15806,191.41,7.34894,52.15827,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,16384,742.85089,744.42932,12.92968,57.09887,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,32768,1671.92053,1677.41764,18.95056,63.24416,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_no_unpack,bf16-w+CUSTOM-unpack,CUSTOM,,1,65536,4273.85325,4282.1784,33.71998,78.04111,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,1024,81.05597,81.53134,5.69394,48.83236,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,4096,191.26204,191.47159,7.06002,51.61406,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,16384,742.773,743.44881,13.3465,58.06882,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,32768,1678.27796,1681.69614,20.23083,65.14035,800,graph,True,False,
shipabl_bitmap,abl,abl_attn_skipwrite,bf16-w+CUSTOM-skipwrite,CUSTOM,,1,65536,4280.20915,4286.20763,37.07717,81.89869,800,graph,True,False,
